Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal;Texto adicional
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Lista;;<em>Fundirse para convertirse de nuevo en rocas</em>;(Las rocas magmáticas o ígneas)
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Lista;;<em>Comprimidas y apretadas bajo toneladas de rocas</em>;(Las rocas metamórficas)
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Lista;;<em>El lento cambio de las rocas</em>;(El ciclo de las rocas)
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Lista;;<em>Colección de rocas</em>;(La identificación de rocas por su aspecto)
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Lista;;<em>Rocas para miles de usos</em>;(Los usos de las rocas)
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Enlace;http://www.aula2005.com/html/cn1eso/05minerales/05elsmineralses.htm, http://www.aula2005.com/html/cn1eso/06roques/06lesroqueses.htm;los minerales y las rocas.;Aula 2005 ofrece dos unidades didácticas sobre los temas
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Enlace;https://vivescortadaimport.com/diccionario-minerales/;Diccionario de minerales;, información sobre minerales elaborado por la empresa Vives de la Cortada.
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=Z4GMgIJzrYw;Los minerales;, video sobre las características y los usos de los minerales, de La Eduteca.
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=DPR2nC6Feas;Tipos de Rocas;, video sobre las rocas como materiales que forman la geosfera, de Geología en el campo.
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Enlace;http://recursos.cnice.mec.es/biosfera/alumno/2ESO/materiales_terrestres/index.htm;Los materiales terrestres. Minerales y rocas;, unidad didáctica acerca de las características de los minerales y las rocas, del Proyecto Biosfera.
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Escoge tu camino;Inglés;https://www.dkfindout.com/us/earth/rocks-and-minerals/;Rocks and minerals;", unidad didáctica elaborada por DKfindout!
"
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Ve más allá;Lista;;"Define algunas propiedades de los minerales; Ordena los minerales según su dureza; Reconoce los minerales";
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Ve más allá;Lista;;"Conoce las rocas exógenas o sedimentarias; Conoce las rocas magmáticas y metamórficas; Distingue las rocas heterogéneas de las homogéneas";
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Ve más allá;Lista;;Identifica las fases de la formación del petróleo;
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Ve más allá;Lista;;"Clasifica los tipos de roca según su origen; ¿Qué sabes sobre rocas?";
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Ve más allá;Lista;;"¿De dónde se extraen los metales?; Los recursos de la corteza terrestre y su explotación";
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Ve más allá;Lista;;Competencias: Identificación de los minerales y sus propiedades y Estudio de las características de las rocas;
Desafío: Las rocas y los minerales;CN_07_16_LM_Recurso550;132292;Meta;Título;;"Ahora ya sabes cuál es el camino que debemos recorrer para descubrir las diferencias entre minerales y rocas y el uso que el ser humano hace de ellos.
¿Serás capaz de superar la última prueba?";
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Lista;;<em>¡Todo lo denso, al centro!</em>;(La formación del planeta Tierra)
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Lista;;<em>Los ingredientes de nuestro planeta Tierra</em>;(Las capas de la Tierra según su composición)
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Lista;;<em>Un vestido de tres capas</em>;(Las capas de la Tierra según sus propiedades)
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Lista;;<em>¿Hay montañas y llanuras dentro del océano?</em>;(La corteza oceánica)
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Lista;;<em>¿De qué están hechas las rocas y los minerales?</em>;(Los elementos químicos de la corteza)
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=h59WRlxJHrU;La formación de la Tierra;, documental de National Geographic sobre la formación de la Tierra.
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Enlace;http://recursos.cnice.mec.es/biosfera/alumno/1ESO/Astro/contenido18.htm;La Tierra sólida: núcleo, manto y corteza;, información y ejercicios sobre las capas de la Tierra, en el proyecto Biosfera, del Ministerio de Educación.
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Enlace;http://www.ign.es/ign/main/index.do;Instituto Geográfico Nacional;, web con materiales y recursos educativos relacionados con la geología.
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Inglés;https://www.dailymotion.com/video/x3nbp3j;Down to the Earth's Core;, documental de National Geographic sobre el interior de la Tierra
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Escoge tu camino;Inglés;https://www.youtube.com/watch?v=bgnn096PfWQ;Structure of the Earth & its Components;, video sobre la estructura interna de la Tierra, en MocomiKids.
