Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal;Texto adicional
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=-8Lu1E7GNBs;El aparato circulatorio;, video que muestra de forma clara y sencilla el funcionamiento del aparato circulatorio, publicado por La Eduteca.
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=nsSg4Eq3LEo;El sistema circulatorio;, video introductorio con información clara y concisa sobre el aparato circulatorio, de Happy Learning Español.
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Enlace;https://fundaciondelcorazon.com/informacion-para-pacientes/enfermedades-cardiovasculares.html;Enfermedades cardiovasculares;, amplia información sobre las principales enfermedades que afectan al corazón, en el web de la Fundación Española del Corazón (FEC).
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Inglés;https://www.ducksters.com/science/blood_and_the_heart.php;Biology for Kids: Cardiovascular System;, que trata sobre la sangre y el corazón, en Ducksters Education Site.
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Inglés;https://www.sciencekids.co.nz/sciencefacts/humanbody/blood.html;Human Body Facts: Blood Facts;, que se centra en el estudio de la sangre, en el portal Science Kids.
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Ve más allá;Lista;;A, B, O, AB + y - (Los grupos sanguíneos);
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Ve más allá;Lista;;Mediterráneo para el corazón (Dieta mediterránea);
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Meta;Título;;"Ahora ya sabes cuál es el camino que debemos recorrer para profundizar en el tema del aparato circulatorio.
¿Serás capaz de superar la última prueba?";
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Lista;;Las carreteras del aire ;(las vías respiratorias)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Lista;;Las esponjas del aire ;(la anatomía y la función principal del pulmón)
